epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.1207539364695549,0.0010000000474974513,2.9944920539855957,0.3294701874256134,2.2997658252716064
1,0.2692626416683197,0.0010000000474974513,2.3995468616485596,0.5678808093070984,1.5889219045639038
2,0.36081191897392273,0.0010000000474974513,2.0181643962860107,0.6506622433662415,1.1238406896591187
3,0.43434134125709534,0.0010000000474974513,1.793592929840088,0.6539735198020935,0.9913893938064575
4,0.4755592346191406,0.0010000000474974513,1.6317713260650635,0.6142383813858032,1.0971784591674805
5,0.5012427568435669,0.0010000000474974513,1.5264613628387451,0.7177152037620544,0.8061034679412842
6,0.5410107970237732,0.0010000000474974513,1.472808599472046,0.7276490330696106,0.8224681615829468
7,0.5526098012924194,0.0010000000474974513,1.380665898323059,0.7077814340591431,0.7859744429588318
8,0.5681441426277161,0.0010000000474974513,1.2984215021133423,0.7235099077224731,0.678626537322998
9,0.5855426788330078,0.0010000000474974513,1.2567641735076904,0.7433775067329407,0.7629039883613586
10,0.6004557013511658,0.0010000000474974513,1.234054446220398,0.7077814340591431,0.7443298697471619
11,0.6137116551399231,0.0010000000474974513,1.1852408647537231,0.7326158881187439,0.6166127920150757
12,0.6253106594085693,0.0010000000474974513,1.1209428310394287,0.7690397500991821,0.5878652334213257
13,0.628624677658081,0.0010000000474974513,1.1169562339782715,0.7673841118812561,0.6010177135467529
14,0.6456089615821838,0.0010000000474974513,1.0624436140060425,0.7541390657424927,0.5497179627418518
15,0.658450722694397,0.0010000000474974513,1.0425931215286255,0.8360927104949951,0.4742962718009949
16,0.6599006056785583,0.0010000000474974513,1.0412184000015259,0.7657284736633301,0.6176404356956482
17,0.6688069701194763,0.0010000000474974513,1.0065077543258667,0.7938741445541382,0.5053860545158386
18,0.6743993163108826,0.0010000000474974513,1.0023488998413086,0.8311258554458618,0.45090898871421814
19,0.6859983205795288,0.0010000000474974513,0.9572646617889404,0.8178808093070984,0.46177172660827637
20,0.689933717250824,0.0010000000474974513,0.9200103878974915,0.8162251710891724,0.4425069987773895
21,0.7060894966125488,0.0010000000474974513,0.8824388980865479,0.8559602499008179,0.4035831093788147
22,0.6930406093597412,0.0010000000474974513,0.9317578673362732,0.8526490330696106,0.4181729853153229
23,0.6965616941452026,0.0010000000474974513,0.9250166416168213,0.8410596251487732,0.41531917452812195
24,0.7149958610534668,0.0010000000474974513,0.8483599424362183,0.8617549538612366,0.35347265005111694
25,0.7116818428039551,0.0010000000474974513,0.8247739672660828,0.820364236831665,0.40053364634513855
26,0.7203810811042786,0.0010000000474974513,0.8170168399810791,0.8302980065345764,0.42379704117774963
27,0.7222452163696289,0.0010000000474974513,0.8168932199478149,0.871688723564148,0.36214637756347656
28,0.7268019914627075,0.0010000000474974513,0.8283329606056213,0.8576158881187439,0.3499014675617218
29,0.7344655990600586,0.0010000000474974513,0.8009899854660034,0.8990066051483154,0.3146269619464874
30,0.7377796173095703,0.0010000000474974513,0.7646529674530029,0.876655638217926,0.3280103802680969
31,0.7551781535148621,0.0010000000474974513,0.7444537281990051,0.8402317762374878,0.3964027464389801
32,0.7479287385940552,0.0010000000474974513,0.7387149333953857,0.875,0.33836695551872253
33,0.7479287385940552,0.0010000000474974513,0.7271167039871216,0.8965231776237488,0.30836960673332214
34,0.7570422291755676,0.0010000000474974513,0.71573406457901,0.8658940196037292,0.3606569766998291
35,0.7609776258468628,0.0010000000474974513,0.7239444851875305,0.8551324605941772,0.41445598006248474
36,0.75807785987854,0.0010000000474974513,0.7094118595123291,0.8600993156433105,0.34236639738082886
37,0.7568351030349731,0.0010000000474974513,0.7174741625785828,0.8675496578216553,0.32204458117485046
38,0.7570422291755676,0.0010000000474974513,0.7035314440727234,0.8857616186141968,0.31046947836875916
39,0.75807785987854,0.0010000000474974513,0.7196403741836548,0.8849337697029114,0.326290100812912
40,0.7570422291755676,0.0010000000474974513,0.702175498008728,0.8617549538612366,0.36089426279067993
41,0.7750621438026428,0.0010000000474974513,0.6499375104904175,0.871688723564148,0.33526453375816345
42,0.7680198550224304,0.0010000000474974513,0.7012995481491089,0.8882450461387634,0.3308088481426239
43,0.772576630115509,0.0010000000474974513,0.6342740058898926,0.9023178815841675,0.26715362071990967
44,0.7773405313491821,0.0010000000474974513,0.647521436214447,0.8948675394058228,0.2678331732749939
